,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
301,US-ND,North Dakota,2020-09-07,646.0,44.0,5.18,,7.03,6.94,7.68,10.45,7.86,4.35,5.46,10.73,4.44,5.64,6.01,4.35
302,US-ND,North Dakota,2020-09-14,730.0,84.0,,,4.52,8.94,7.95,8.94,4.06,6.5,5.69,5.51,4.52,6.95,10.66,5.78
303,US-ND,North Dakota,2020-09-21,828.0,98.0,5.6,4.07,7.59,6.6,5.96,8.77,4.88,,,6.42,6.42,7.05,7.95,6.05
304,US-NE,Nebraska,2020-01-06,,,,67.45,,,,,,,,,,,,
305,US-NE,Nebraska,2020-01-13,,,,71.33,,,,,,,,,,,,
306,US-NE,Nebraska,2020-01-20,,,,60.97,,,,,,,,,,,,
307,US-NE,Nebraska,2020-01-27,,,,79.88,,,,,,,,,,,,
308,US-NE,Nebraska,2020-02-03,,,,97.35,,,,,,,,,,,,
309,US-NE,Nebraska,2020-02-10,,,,75.83,,,,,,,,,,,,
310,US-NE,Nebraska,2020-02-17,,,,78.06,,,,,,,,,,,,
311,US-NE,Nebraska,2020-02-24,,,,70.58,,,,,,,,,,,,
312,US-NE,Nebraska,2020-03-02,,,,88.45,,,,,,,,,,,,
313,US-NE,Nebraska,2020-03-09,,,,86.85,,,,,,,,,,,,
314,US-NE,Nebraska,2020-03-16,,,,68.29,,,,,,,,,,,,
315,US-NE,Nebraska,2020-03-23,,,,40.36,,,,,,,,,,,,
316,US-NE,Nebraska,2020-03-30,,,,47.43,,,,,,,,,,,,
317,US-NE,Nebraska,2020-04-06,,,,29.94,,,,,,,,,,,,
318,US-NE,Nebraska,2020-04-13,,,,29.16,,,,,,,,,,,,
319,US-NE,Nebraska,2020-04-20,,,,33.62,,,,,,,,,,,,
320,US-NE,Nebraska,2020-04-27,,,,33.43,,,,,,,,,,,,
321,US-NE,Nebraska,2020-05-04,,,,36.5,,,,,,,,,,,,
322,US-NE,Nebraska,2020-05-11,,,,24.28,,,,,,,,,,,,
323,US-NE,Nebraska,2020-05-18,,,,32.63,,,,,,,,,,,,
324,US-NE,Nebraska,2020-05-25,,,,27.43,,,,,,,,,,,,
325,US-NE,Nebraska,2020-06-01,935.0,935.0,,40.49,,,,,,,,,,,,
326,US-NE,Nebraska,2020-06-08,1075.0,140.0,,35.03,,,,,,,,,,,,
327,US-NE,Nebraska,2020-06-15,1212.0,137.0,,33.36,,,,,,,,,,,,
328,US-NE,Nebraska,2020-06-22,1316.0,104.0,,35.72,,,,,,,,,,,,
329,US-NE,Nebraska,2020-06-29,1369.0,53.0,,37.95,,,,,,,,,,,,
330,US-NE,Nebraska,2020-07-06,1421.0,52.0,,38.13,,,,,,,,,,,,
331,US-NE,Nebraska,2020-07-13,1482.0,61.0,,43.16,,,,,,,,,,,,
332,US-NE,Nebraska,2020-07-20,1570.0,88.0,,39.27,,,,,,,,,,,,
333,US-NE,Nebraska,2020-07-27,1630.0,60.0,,46.36,,,,,,,,,,,,
334,US-NE,Nebraska,2020-08-03,1722.0,92.0,,40.07,,,,,,,,,,,,
335,US-NE,Nebraska,2020-08-10,1883.0,161.0,,35.84,,,,,,,,,,,,
336,US-NE,Nebraska,2020-08-17,1910.0,27.0,,30.66,,,,,,,,,,,,
337,US-NE,Nebraska,2020-08-24,1994.0,84.0,,39.98,,,,,,,,,,,,
338,US-NE,Nebraska,2020-08-31,2068.0,74.0,,41.52,,,,,,,,,,,,
339,US-NE,Nebraska,2020-09-07,2139.0,71.0,,33.18,,,,,,,,,,,,
340,US-NE,Nebraska,2020-09-14,2194.0,55.0,,42.21,,,,,,,,,,,,
341,US-NE,Nebraska,2020-09-21,2280.0,86.0,,43.88,,,,,,,,,,,,
342,US-NH,New Hampshire,2020-01-06,,,18.3,22.49,12.01,24.44,31.7,12.71,47.63,20.53,15.5,18.58,11.17,17.04,16.9,34.22
343,US-NH,New Hampshire,2020-01-13,,,18.56,22.61,12.0,21.21,37.54,13.81,39.91,21.63,15.63,21.21,9.63,18.42,19.68,40.05
344,US-NH,New Hampshire,2020-01-20,,,18.64,21.44,13.73,26.49,27.33,14.16,41.49,22.57,13.18,19.2,12.61,16.68,18.92,36.3
345,US-NH,New Hampshire,2020-01-27,,,17.9,24.65,11.15,29.47,30.71,11.98,42.27,20.38,18.45,22.58,14.87,19.28,21.07,41.72
346,US-NH,New Hampshire,2020-02-03,,,19.59,25.21,11.37,24.11,21.1,19.05,49.05,21.1,14.39,20.55,9.73,18.09,19.32,33.16
347,US-NH,New Hampshire,2020-02-10,,,21.37,22.2,15.3,26.2,23.16,18.89,46.46,17.65,16.55,21.92,10.62,22.06,27.57,31.43
348,US-NH,New Hampshire,2020-02-17,,,15.29,20.43,8.2,25.16,25.44,13.21,40.86,22.8,17.79,20.43,9.73,21.54,22.52,36.0
349,US-NH,New Hampshire,2020-02-24,,,18.15,19.36,11.19,23.44,22.69,30.7,40.23,26.77,17.39,22.39,15.88,16.94,21.48,35.7
350,US-NH,New Hampshire,2020-03-02,,,20.47,27.85,12.53,28.55,25.62,25.48,43.59,18.94,20.33,18.8,20.75,21.17,15.04,43.03
351,US-NH,New Hampshire,2020-03-09,,,14.52,26.71,13.01,24.24,25.88,20.0,40.54,15.06,15.34,15.34,25.47,17.26,18.9,65.33
352,US-NH,New Hampshire,2020-03-16,,,17.2,13.65,19.17,26.39,19.82,9.19,30.98,11.81,10.9,14.96,40.96,11.42,12.47,59.07
353,US-NH,New Hampshire,2020-03-23,45.0,45.0,17.58,11.76,22.16,24.64,20.68,41.1,22.66,19.44,12.01,13.74,34.67,14.11,18.82,36.03
354,US-NH,New Hampshire,2020-03-30,92.0,47.0,11.94,11.58,21.2,22.18,15.84,21.08,17.67,17.55,14.99,13.77,30.22,13.89,9.99,25.83
355,US-NH,New Hampshire,2020-04-06,152.0,60.0,17.4,,20.24,22.22,18.27,16.05,14.07,20.49,17.16,17.9,21.85,11.85,16.42,19.13
356,US-NH,New Hampshire,2020-04-13,198.0,46.0,16.07,8.94,20.18,16.8,15.23,20.3,13.42,17.65,14.75,16.07,19.46,13.9,17.65,11.6
357,US-NH,New Hampshire,2020-04-20,242.0,44.0,20.42,9.72,16.17,14.46,20.42,18.48,12.15,17.5,14.34,19.08,19.33,13.61,14.22,14.22
358,US-NH,New Hampshire,2020-04-27,286.0,44.0,17.37,6.37,16.74,15.99,11.87,23.24,10.5,17.74,14.37,20.24,15.74,14.37,15.99,15.99
359,US-NH,New Hampshire,2020-05-04,318.0,32.0,17.95,10.45,14.02,12.05,20.16,20.9,10.94,17.83,14.02,19.67,16.84,16.23,14.26,9.22
360,US-NH,New Hampshire,2020-05-11,359.0,41.0,12.88,9.63,15.88,11.25,21.13,10.88,9.88,14.0,13.25,16.25,13.38,8.13,17.63,8.88
361,US-NH,New Hampshire,2020-05-18,419.0,60.0,15.4,,12.16,15.14,15.01,11.26,11.26,19.92,14.1,19.28,19.66,15.78,19.54,6.34
362,US-NH,New Hampshire,2020-05-25,451.0,32.0,15.3,10.16,10.03,11.96,17.61,12.09,8.74,12.98,9.13,17.36,9.77,13.5,15.04,
363,US-NH,New Hampshire,2020-06-01,489.0,38.0,16.57,7.96,10.79,9.51,17.6,12.72,12.33,17.73,10.66,18.88,10.4,14.0,17.34,5.52
364,US-NH,New Hampshire,2020-06-08,519.0,30.0,16.02,9.06,8.93,9.72,25.87,15.23,10.51,15.89,11.69,16.68,13.27,16.02,16.15,
365,US-NH,New Hampshire,2020-06-15,553.0,34.0,13.08,11.86,12.54,14.29,22.51,14.42,8.09,17.52,11.86,17.93,11.59,15.5,14.56,6.07
366,US-NH,New Hampshire,2020-06-22,565.0,12.0,18.9,7.93,16.39,13.62,18.77,9.12,,21.81,12.43,24.72,14.67,13.88,14.94,
367,US-NH,New Hampshire,2020-06-29,570.0,5.0,14.08,8.98,12.87,8.98,20.65,11.53,11.0,20.52,9.79,18.91,11.94,16.5,16.63,6.84
368,US-NH,New Hampshire,2020-07-06,589.0,19.0,16.58,10.57,15.01,13.97,19.19,14.88,11.75,19.19,9.27,19.19,13.32,20.89,13.71,
369,US-NH,New Hampshire,2020-07-13,673.0,84.0,19.18,7.27,9.52,13.22,24.33,14.15,11.64,16.79,14.41,20.36,19.7,17.72,14.81,7.01
370,US-NH,New Hampshire,2020-07-20,688.0,15.0,14.35,12.09,13.15,11.83,28.04,14.88,13.29,26.31,10.1,19.8,14.09,19.53,18.87,7.17
