,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
159,US-ID,Idaho,2020-02-24,,,,31.39,,,,,,,,,,,,58.76
160,US-ID,Idaho,2020-03-02,,,,39.68,,,,,,,,,,,,62.2
161,US-ID,Idaho,2020-03-09,,,,42.41,,,,,,,,,,,,100.0
162,US-ID,Idaho,2020-03-16,,,,35.39,,,,,,,,,,,,95.86
163,US-ID,Idaho,2020-03-23,39.0,39.0,,24.71,,,,,,,,,,,,68.63
164,US-ID,Idaho,2020-03-30,77.0,38.0,,18.95,,,,,,,,,,,,50.91
165,US-ID,Idaho,2020-04-06,132.0,55.0,,17.13,,,,,,,,,,,,34.62
166,US-ID,Idaho,2020-04-13,151.0,19.0,,16.04,,,,,,,,,,,,24.69
167,US-ID,Idaho,2020-04-20,169.0,18.0,,16.7,,,,,,,,,,,,20.37
168,US-ID,Idaho,2020-04-27,200.0,31.0,,12.8,,,,,,,,,,,,13.35
169,US-ID,Idaho,2020-05-04,207.0,7.0,,14.23,,,,,,,,,,,,12.71
170,US-ID,Idaho,2020-05-11,213.0,6.0,,12.54,,,,,,,,,,,,13.86
171,US-ID,Idaho,2020-05-18,225.0,12.0,,15.66,,,,,,,,,,,,12.57
172,US-ID,Idaho,2020-05-25,242.0,17.0,,15.32,,,,,,,,,,,,13.51
173,US-ID,Idaho,2020-06-01,260.0,18.0,,14.34,,,,,,,,,,,,8.16
174,US-ID,Idaho,2020-06-08,266.0,6.0,,,,,,,,,,,,,,8.53
175,US-ID,Idaho,2020-06-15,283.0,17.0,,13.52,,,,,,,,,,,,10.29
176,US-ID,Idaho,2020-06-22,312.0,29.0,,22.95,,,,,,,,,,,,10.87
177,US-ID,Idaho,2020-06-29,369.0,57.0,,18.34,,,,,,,,,,,,16.07
178,US-ID,Idaho,2020-07-06,477.0,108.0,,18.29,,,,,,,,,,,,20.08
179,US-ID,Idaho,2020-07-13,600.0,123.0,,13.77,,,,,,,,,,,,16.97
180,US-ID,Idaho,2020-07-20,741.0,141.0,,19.13,,,,,,,,,,,,15.1
181,US-ID,Idaho,2020-07-27,874.0,133.0,,18.91,,,,,,,,,,,,18.51
182,US-ID,Idaho,2020-08-03,999.0,125.0,,21.68,,,,,,,,,,,,16.46
183,US-ID,Idaho,2020-08-10,1110.0,111.0,,14.0,,,,,,,,,,,,9.4
184,US-ID,Idaho,2020-08-17,1256.0,146.0,,14.84,,,,,,,,,,,,12.34
185,US-ID,Idaho,2020-08-24,1369.0,113.0,,14.79,,,,,,,,,,,,14.23
186,US-ID,Idaho,2020-08-31,1466.0,97.0,,19.18,,,,,,,,,,,,15.42
187,US-ID,Idaho,2020-09-07,1604.0,138.0,,18.24,,,,,,,,,,,,13.27
188,US-ID,Idaho,2020-09-14,1718.0,114.0,,13.7,,,,,,,,,,,,16.01
189,US-ID,Idaho,2020-09-21,1814.0,96.0,,15.97,,,,,,,,,,,,19.24
190,US-ME,Maine,2020-01-06,,,24.42,22.64,16.17,26.68,25.87,18.76,43.34,21.18,13.26,16.66,9.38,20.05,21.83,36.87
191,US-ME,Maine,2020-01-13,,,15.41,26.28,7.62,21.25,34.23,17.36,42.5,19.14,16.22,19.47,6.97,19.95,22.22,34.88
192,US-ME,Maine,2020-01-20,,,22.22,23.04,10.62,30.88,36.28,17.16,44.12,21.08,17.81,19.45,8.99,21.24,27.78,40.36
193,US-ME,Maine,2020-01-27,,,24.51,20.67,12.82,28.36,34.28,33.48,35.08,19.06,24.35,26.91,12.02,19.38,22.59,39.25
194,US-ME,Maine,2020-02-03,,,19.75,19.43,13.81,30.67,23.12,19.59,44.0,26.98,15.74,29.07,12.53,18.63,27.14,36.61
195,US-ME,Maine,2020-02-10,,,20.37,20.37,12.94,26.84,27.81,19.56,43.82,18.43,15.2,16.98,12.45,19.4,26.03,33.63
196,US-ME,Maine,2020-02-17,,,20.88,24.98,13.18,30.29,23.95,24.13,45.86,25.84,20.53,24.47,12.49,21.22,23.44,34.39
197,US-ME,Maine,2020-02-24,,,18.74,28.91,14.93,30.81,27.8,24.78,40.34,19.38,14.93,24.78,13.66,23.98,25.25,39.55
198,US-ME,Maine,2020-03-02,,,16.51,25.71,13.02,31.27,35.56,20.32,44.13,21.75,16.67,22.38,12.38,19.05,22.22,40.32
199,US-ME,Maine,2020-03-09,,,12.78,24.01,16.84,23.85,24.16,15.59,41.62,13.87,13.56,18.71,26.34,17.61,20.58,75.14
200,US-ME,Maine,2020-03-16,,,15.25,25.47,23.03,26.08,23.64,19.37,36.91,16.32,12.05,12.66,34.47,11.59,13.73,61.77
201,US-ME,Maine,2020-03-23,49.0,49.0,14.03,18.27,18.41,35.22,20.9,45.16,27.18,14.03,13.59,17.1,29.81,12.57,18.7,35.51
202,US-ME,Maine,2020-03-30,92.0,43.0,11.92,12.49,24.27,23.98,15.47,20.86,18.73,17.6,18.73,14.19,30.79,16.18,14.05,27.96
203,US-ME,Maine,2020-04-06,124.0,32.0,13.76,13.17,18.0,21.51,13.03,21.51,19.76,19.76,17.71,18.0,25.17,12.44,15.07,19.61
204,US-ME,Maine,2020-04-13,138.0,14.0,19.78,13.81,17.36,16.94,16.94,20.78,12.24,22.91,16.94,15.23,21.63,17.51,15.66,16.08
205,US-ME,Maine,2020-04-20,161.0,23.0,18.08,9.99,16.9,20.29,18.23,19.84,17.05,19.99,14.11,18.82,20.29,17.05,10.88,11.76
206,US-ME,Maine,2020-04-27,186.0,25.0,16.65,8.18,14.5,16.51,18.23,19.67,13.49,17.08,16.51,16.8,14.21,15.36,15.36,10.34
207,US-ME,Maine,2020-05-04,200.0,14.0,17.89,13.85,14.57,23.08,19.33,22.22,15.15,16.45,12.55,19.04,17.89,18.75,14.28,10.1
208,US-ME,Maine,2020-05-11,223.0,23.0,17.78,12.05,16.46,12.05,18.22,14.26,8.82,12.49,14.26,19.4,17.34,14.99,8.96,6.91
209,US-ME,Maine,2020-05-18,257.0,34.0,15.82,6.84,12.47,12.62,20.53,13.54,8.82,20.68,15.21,17.95,14.6,12.62,14.3,6.24
210,US-ME,Maine,2020-05-25,284.0,27.0,14.24,11.4,9.75,9.75,20.69,17.84,6.6,15.59,11.1,18.44,13.95,17.54,14.99,
211,US-ME,Maine,2020-06-01,301.0,17.0,15.12,9.93,12.45,10.08,20.31,13.64,12.75,16.46,11.42,17.64,12.9,15.72,13.94,6.38
212,US-ME,Maine,2020-06-08,317.0,16.0,13.55,9.49,11.45,15.36,26.05,13.1,10.84,21.38,9.79,17.77,12.8,15.66,27.41,
213,US-ME,Maine,2020-06-15,336.0,19.0,14.3,9.38,9.23,13.22,25.52,13.99,14.61,17.53,10.61,21.83,13.22,17.84,26.6,6.46
214,US-ME,Maine,2020-06-22,347.0,11.0,6.58,7.32,14.2,15.69,11.51,8.37,12.85,23.76,14.95,19.88,15.54,19.28,24.21,
215,US-ME,Maine,2020-06-29,359.0,12.0,17.2,12.79,18.52,11.03,26.76,13.53,10.0,17.94,13.53,18.08,13.82,19.85,18.38,7.06
216,US-ME,Maine,2020-07-06,372.0,13.0,19.84,10.21,15.1,14.23,22.43,13.66,17.97,16.54,15.53,18.12,16.68,17.68,17.97,6.9
217,US-ME,Maine,2020-07-13,375.0,3.0,16.05,13.45,15.76,10.85,27.19,15.04,12.15,18.95,14.03,19.23,15.04,19.23,18.37,7.09
218,US-ME,Maine,2020-07-20,383.0,8.0,20.58,13.62,13.33,12.17,31.01,15.65,15.51,20.0,14.2,22.03,16.52,17.25,17.68,5.94
219,US-ME,Maine,2020-07-27,389.0,6.0,23.29,16.15,15.72,12.43,31.43,12.57,13.86,23.57,15.43,12.43,15.57,15.29,15.86,8.29
220,US-ME,Maine,2020-08-03,393.0,4.0,9.86,11.57,13.0,9.29,30.57,13.14,14.0,21.14,12.43,20.0,15.0,18.0,17.57,
221,US-ME,Maine,2020-08-10,399.0,6.0,19.09,7.55,14.39,16.67,31.63,16.1,13.53,20.66,10.54,22.08,15.53,14.96,11.11,8.26
222,US-ME,Maine,2020-08-17,409.0,10.0,19.85,13.14,11.99,12.85,24.99,13.14,16.99,19.7,10.71,19.42,15.42,16.56,12.99,7.14
223,US-ME,Maine,2020-08-24,420.0,11.0,22.17,9.26,15.16,14.6,27.09,15.44,15.86,16.0,13.47,20.21,14.74,17.68,14.31,
224,US-ME,Maine,2020-08-31,427.0,7.0,20.0,8.79,12.91,14.61,23.69,14.18,12.91,17.3,15.74,15.32,12.77,18.86,19.71,8.51
225,US-ME,Maine,2020-09-07,431.0,4.0,20.93,7.95,15.9,19.25,28.32,20.93,12.97,18.14,16.74,20.23,12.84,18.42,21.9,
226,US-ME,Maine,2020-09-14,440.0,9.0,24.98,9.16,14.57,19.84,18.59,33.44,19.7,16.37,18.04,21.65,16.51,21.79,18.73,6.11
227,US-ME,Maine,2020-09-21,446.0,6.0,20.27,11.66,16.8,16.66,30.68,27.91,12.08,22.63,19.72,19.16,13.75,19.99,17.36,7.91
228,US-MT,Montana,2020-01-06,,,10.97,10.72,6.68,11.6,12.49,8.96,20.94,9.46,8.83,9.21,,11.6,8.45,15.89
229,US-MT,Montana,2020-01-13,,,10.12,11.62,8.12,10.12,14.24,9.37,21.74,11.24,9.62,10.12,,7.5,11.37,12.74
230,US-MT,Montana,2020-01-20,,,7.45,10.48,5.56,13.13,14.02,12.0,22.35,13.64,6.82,10.48,7.7,11.62,10.73,22.48
231,US-MT,Montana,2020-01-27,,,6.73,15.32,6.73,16.32,10.46,14.08,19.56,10.71,7.72,5.23,5.48,9.22,9.59,14.7
232,US-MT,Montana,2020-02-03,,,13.02,11.41,5.33,14.26,13.52,14.76,24.18,10.29,6.82,12.9,5.21,8.56,13.64,16.25
233,US-MT,Montana,2020-02-10,,,6.51,11.64,6.38,14.77,13.52,14.39,18.77,9.89,6.13,7.01,8.01,9.89,11.51,21.9
234,US-MT,Montana,2020-02-17,,,9.05,14.96,5.91,13.45,23.75,12.57,23.0,7.92,9.18,8.67,8.17,6.66,15.33,20.36
235,US-MT,Montana,2020-02-24,,,10.2,11.69,7.34,14.93,14.06,10.82,20.52,9.21,8.21,11.69,6.09,10.7,9.7,22.27
236,US-MT,Montana,2020-03-02,,,8.3,11.53,,15.49,13.51,11.28,22.93,13.14,8.92,8.55,8.43,5.95,7.81,28.01
237,US-MT,Montana,2020-03-09,,,8.68,13.99,8.32,12.9,12.06,10.25,20.62,,8.08,9.89,11.82,7.12,8.56,32.2
238,US-MT,Montana,2020-03-16,,,6.74,13.23,11.11,13.61,8.49,10.11,20.47,,6.24,,18.85,9.86,,35.33
239,US-MT,Montana,2020-03-23,10.0,10.0,,8.71,12.19,16.83,8.82,26.59,12.77,8.47,5.11,6.62,15.67,6.38,6.85,22.17
240,US-MT,Montana,2020-03-30,24.0,14.0,6.89,5.87,11.52,12.2,8.13,10.95,9.71,9.15,8.58,7.34,12.08,,8.13,18.97
241,US-MT,Montana,2020-04-06,47.0,23.0,7.21,5.82,9.3,9.65,8.49,9.89,11.52,9.77,7.21,7.33,7.79,7.91,6.75,12.79
242,US-MT,Montana,2020-04-13,57.0,10.0,5.08,5.64,6.54,8.46,10.94,13.2,8.91,8.35,10.38,10.6,6.77,5.98,7.9,9.93
243,US-MT,Montana,2020-04-20,61.0,4.0,8.76,,8.88,7.59,8.53,9.93,8.29,,7.59,8.88,8.06,9.46,9.7,8.29
244,US-MT,Montana,2020-04-27,62.0,1.0,8.55,5.11,10.34,8.55,7.37,8.67,6.54,8.32,7.01,10.46,6.77,9.03,5.94,5.11
245,US-MT,Montana,2020-05-04,62.0,0.0,,5.88,8.51,7.67,12.95,8.75,7.55,5.16,6.0,8.87,7.07,6.71,9.11,5.04
246,US-MT,Montana,2020-05-11,64.0,2.0,5.74,,6.93,7.65,8.49,7.17,5.38,7.53,5.26,10.04,,6.1,12.43,6.1
247,US-MT,Montana,2020-05-18,65.0,1.0,7.47,,5.15,7.35,10.91,7.6,5.64,8.7,5.76,10.78,6.25,6.5,6.74,
248,US-MT,Montana,2020-05-25,67.0,2.0,9.43,,6.5,6.88,12.74,8.79,5.35,8.66,6.24,8.92,7.64,6.5,10.06,
249,US-MT,Montana,2020-06-01,69.0,2.0,5.72,,7.84,7.09,9.7,9.08,7.71,7.71,6.72,8.09,,7.21,8.09,
250,US-MT,Montana,2020-06-08,78.0,9.0,7.47,8.34,6.97,,10.7,12.44,5.72,7.71,,8.96,,10.08,9.33,
251,US-MT,Montana,2020-06-15,90.0,12.0,7.62,,6.49,6.49,9.24,,5.99,8.24,5.12,9.99,,8.11,10.24,5.12
252,US-MT,Montana,2020-06-22,100.0,10.0,8.49,,10.23,5.87,11.23,7.36,5.24,8.74,9.61,,7.49,7.49,9.36,
253,US-MT,Montana,2020-06-29,112.0,12.0,6.72,5.96,6.21,6.72,10.01,7.73,7.6,9.12,7.86,8.74,5.96,15.46,9.25,5.58
254,US-MT,Montana,2020-07-06,133.0,21.0,10.77,5.44,7.86,7.14,12.1,7.26,7.62,7.62,5.32,7.99,5.69,11.49,10.04,5.2
255,US-MT,Montana,2020-07-13,167.0,34.0,7.0,,8.57,7.0,8.45,5.43,9.66,5.67,5.8,9.42,9.9,11.47,8.09,6.16
256,US-MT,Montana,2020-07-20,201.0,34.0,8.74,6.07,6.55,5.82,11.04,8.25,,6.43,10.07,7.89,7.89,8.13,8.86,
257,US-MT,Montana,2020-07-27,236.0,35.0,7.5,7.74,6.41,5.69,12.1,6.66,7.02,7.5,7.26,11.13,6.9,7.62,7.02,
258,US-MT,Montana,2020-08-03,273.0,37.0,7.84,,7.36,4.95,10.13,5.31,7.12,10.49,6.88,8.32,6.39,7.48,6.63,
259,US-MT,Montana,2020-08-10,330.0,57.0,7.71,,10.97,5.54,14.95,6.75,7.11,9.76,5.91,10.85,6.99,9.76,7.71,
260,US-MT,Montana,2020-08-17,383.0,53.0,9.39,5.75,5.04,,11.85,4.81,5.98,8.45,7.51,8.21,6.1,8.92,5.75,
261,US-MT,Montana,2020-08-24,436.0,53.0,5.76,5.53,8.76,7.03,11.41,6.11,6.22,7.03,6.68,10.02,4.84,10.83,10.95,
262,US-MT,Montana,2020-08-31,498.0,62.0,7.88,8.68,10.39,5.02,10.85,11.3,4.79,10.73,8.11,8.11,4.79,14.61,9.71,6.28
263,US-MT,Montana,2020-09-07,531.0,33.0,8.35,6.77,6.2,11.96,12.18,11.5,7.33,,6.77,8.68,4.96,7.78,8.91,4.85
264,US-MT,Montana,2020-09-14,576.0,45.0,7.68,7.9,6.91,8.67,9.77,11.74,7.02,9.88,6.8,7.46,4.39,11.41,10.21,
265,US-MT,Montana,2020-09-21,698.0,122.0,9.4,8.06,8.5,10.85,11.41,12.42,4.92,8.84,7.94,12.08,5.82,10.4,12.31,
266,US-ND,North Dakota,2020-01-06,,,5.71,6.0,4.72,,6.99,,13.88,5.51,4.33,9.45,,6.0,,12.01
267,US-ND,North Dakota,2020-01-13,,,,4.34,4.62,5.57,7.36,6.32,10.19,,4.91,6.89,,7.65,10.01,10.29
268,US-ND,North Dakota,2020-01-20,,,4.76,8.36,4.47,10.7,5.25,6.03,12.54,4.28,6.22,5.15,5.54,5.35,7.58,12.06
269,US-ND,North Dakota,2020-01-27,,,7.04,7.62,4.47,7.33,5.52,6.76,11.71,6.28,7.14,4.38,6.28,7.04,9.04,13.14
270,US-ND,North Dakota,2020-02-03,,,5.46,8.43,5.27,11.3,5.17,6.89,13.5,7.47,6.32,5.84,,6.99,6.7,10.91
271,US-ND,North Dakota,2020-02-10,,,4.94,6.39,,7.26,9.97,9.01,10.65,6.1,5.81,5.33,,10.17,8.52,12.59
272,US-ND,North Dakota,2020-02-17,,,4.39,10.53,6.43,12.97,,11.41,15.5,7.99,7.21,6.73,,6.73,7.7,11.41
273,US-ND,North Dakota,2020-02-24,,,4.56,7.32,5.89,8.93,6.27,9.98,12.07,6.08,4.09,7.22,6.56,6.37,6.46,12.35
274,US-ND,North Dakota,2020-03-02,0.0,0.0,7.06,7.34,,9.25,10.97,10.97,13.54,,,6.39,,5.05,7.53,13.45
275,US-ND,North Dakota,2020-03-09,0.0,0.0,,7.56,4.16,7.93,5.95,6.42,14.45,6.8,6.99,6.42,3.78,7.27,5.76,19.17
276,US-ND,North Dakota,2020-03-16,4.0,4.0,4.38,4.38,7.39,9.24,6.13,9.54,12.84,,4.67,7.49,10.9,6.13,6.62,18.58
277,US-ND,North Dakota,2020-03-23,19.0,15.0,4.8,5.91,5.26,11.17,6.0,18.37,10.52,4.89,4.89,6.74,11.26,5.72,4.52,13.76
278,US-ND,North Dakota,2020-03-30,32.0,13.0,,3.7,7.66,9.86,3.96,11.18,7.48,3.87,6.25,4.4,9.6,5.37,5.9,11.09
279,US-ND,North Dakota,2020-04-06,40.0,8.0,3.98,,6.43,7.42,,9.6,,4.71,4.17,3.71,6.25,6.43,7.7,6.25
280,US-ND,North Dakota,2020-04-13,53.0,13.0,3.91,,6.14,6.31,5.96,10.14,,5.07,4.8,4.62,6.31,5.6,4.36,8.0
281,US-ND,North Dakota,2020-04-20,77.0,24.0,,3.94,4.58,8.42,,7.6,,5.4,4.49,5.22,7.23,5.95,6.32,5.49
282,US-ND,North Dakota,2020-04-27,94.0,17.0,4.5,,5.62,4.69,5.81,7.12,,9.0,6.56,6.94,,7.22,5.62,5.53
283,US-ND,North Dakota,2020-05-04,115.0,21.0,,,4.52,4.43,,9.59,,5.07,4.89,5.44,5.81,4.33,4.52,
284,US-ND,North Dakota,2020-05-11,133.0,18.0,,,6.77,5.34,4.29,6.58,6.39,4.1,6.77,6.68,5.82,5.82,4.96,5.15
285,US-ND,North Dakota,2020-05-18,154.0,21.0,4.89,,4.69,4.48,5.81,4.28,4.89,5.3,,6.11,5.2,,,
286,US-ND,North Dakota,2020-05-25,169.0,15.0,4.2,,6.2,6.62,4.62,,,,,6.2,,4.73,4.2,
287,US-ND,North Dakota,2020-06-01,184.0,15.0,5.56,,4.84,5.66,,,,4.33,5.25,6.49,5.05,,7.62,
288,US-ND,North Dakota,2020-06-08,197.0,13.0,5.1,,4.08,6.02,5.81,4.28,5.3,5.2,,4.79,7.75,5.0,7.65,
289,US-ND,North Dakota,2020-06-15,218.0,21.0,5.21,,4.58,6.98,5.21,,4.48,6.77,5.21,4.69,5.62,4.38,4.27,
290,US-ND,North Dakota,2020-06-22,227.0,9.0,4.72,,7.44,,,5.76,4.3,5.14,4.72,4.61,,7.02,7.23,
291,US-ND,North Dakota,2020-06-29,245.0,18.0,,,,,,,,4.54,,,,6.08,6.19,
292,US-ND,North Dakota,2020-07-06,277.0,32.0,4.17,,,,4.91,,4.7,6.89,4.49,6.26,7.62,6.99,4.8,
293,US-ND,North Dakota,2020-07-13,305.0,28.0,5.37,4.13,4.64,,4.13,5.99,5.68,4.85,4.75,5.37,4.75,5.68,5.37,
294,US-ND,North Dakota,2020-07-20,337.0,32.0,,,6.02,5.09,5.82,5.82,5.09,4.98,6.02,5.71,,5.5,6.23,
295,US-ND,North Dakota,2020-07-27,379.0,42.0,5.78,,,4.62,8.3,,5.25,5.25,5.36,5.46,4.83,8.41,4.83,
296,US-ND,North Dakota,2020-08-03,417.0,38.0,5.59,,5.38,6.93,5.9,4.24,,,,6.31,4.66,4.66,5.59,
297,US-ND,North Dakota,2020-08-10,461.0,44.0,,,5.36,6.08,8.55,5.15,5.46,4.94,,6.38,5.15,6.69,5.46,
298,US-ND,North Dakota,2020-08-17,505.0,44.0,4.53,,5.53,4.03,5.63,,5.23,4.13,4.33,5.74,5.03,5.13,4.53,
299,US-ND,North Dakota,2020-08-24,554.0,49.0,,,,4.93,7.58,4.55,4.74,6.07,5.21,5.97,5.21,7.11,4.46,
300,US-ND,North Dakota,2020-08-31,602.0,48.0,5.39,,,7.28,5.2,8.8,,6.24,6.34,5.49,4.16,6.81,6.15,
